documento,categoria,prioridade,responsavel,fonte_manuais,arquivo_local,codigo_interno,uso_do_formulario,acesso_requerido,local_vigente,local_arquivo_morto,retencao_minima,drive_doc_id,drive_doc_url,hyperlink_formula,status,revisao,vigencia,ultima_atualizacao,observacoes
Cadastro de funções requeridas,Governança,Alta,GR + DOPS,"MGO 1.4, MGO 2.1, SOP 1.6.1",135/document_pack/01_cadastro_de_funes_requeridas.md,FRM-EXT-001,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1-Honth0IJPz8-QyxD1Ap72dyW1-WWlsGvO8WN8TvZn8,https://docs.google.com/document/d/1-Honth0IJPz8-QyxD1Ap72dyW1-WWlsGvO8WN8TvZn8/edit,"=HYPERLINK(""https://docs.google.com/document/d/1-Honth0IJPz8-QyxD1Ap72dyW1-WWlsGvO8WN8TvZn8/edit"",""Abrir"")",Não iniciado,,,,
Registro de delegações e substituições,Governança,Alta,GR,"MGO 2.5, MGM 2.3",135/document_pack/02_registro_de_delegaes_e_substituies.md,FRM-EXT-002,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1B-mY_Y5J2GHpu_kg2ZQrEYK4nKO6obJIUBPv7bkwCoQ,https://docs.google.com/document/d/1B-mY_Y5J2GHpu_kg2ZQrEYK4nKO6obJIUBPv7bkwCoQ/edit,"=HYPERLINK(""https://docs.google.com/document/d/1B-mY_Y5J2GHpu_kg2ZQrEYK4nKO6obJIUBPv7bkwCoQ/edit"",""Abrir"")",Não iniciado,,,,
Lista de autorizados para controle operacional,Governança,Alta,DOPS,"MGO 2.3, MGO 3.1.1",135/document_pack/03_lista_de_autorizados_para_controle_operacional.md,FRM-EXT-003,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,11pEjyPNhTX2hENvmMY8Q9YEyCvdwNOU9A_UuAiGGjf4,https://docs.google.com/document/d/11pEjyPNhTX2hENvmMY8Q9YEyCvdwNOU9A_UuAiGGjf4/edit,"=HYPERLINK(""https://docs.google.com/document/d/11pEjyPNhTX2hENvmMY8Q9YEyCvdwNOU9A_UuAiGGjf4/edit"",""Abrir"")",Não iniciado,,,,
Índice mestre documental,Governança,Alta,DOPS + Qualidade,"MGO 1.4, MGM 1.4.1, MGM 1.8",135/document_pack/04_ndice_mestre_documental.md,FRM-EXT-004,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,142Rdw8-AKRL_VDYdnWMzhqljmuqSPhAZ2R4JIz5a0II,https://docs.google.com/document/d/142Rdw8-AKRL_VDYdnWMzhqljmuqSPhAZ2R4JIz5a0II/edit,"=HYPERLINK(""https://docs.google.com/document/d/142Rdw8-AKRL_VDYdnWMzhqljmuqSPhAZ2R4JIz5a0II/edit"",""Abrir"")",Não iniciado,,,,
Controle de revisões e distribuição,Governança,Alta,Qualidade,"MGO 1.5, MGO 1.6, SOP 1.6",135/document_pack/05_controle_de_revises_e_distribuio.md,FRM-EXT-005,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1KVzgmunLcA15o4qLb9EFjIzn3nQtOHKjhlrnyxoyTHg,https://docs.google.com/document/d/1KVzgmunLcA15o4qLb9EFjIzn3nQtOHKjhlrnyxoyTHg/edit,"=HYPERLINK(""https://docs.google.com/document/d/1KVzgmunLcA15o4qLb9EFjIzn3nQtOHKjhlrnyxoyTHg/edit"",""Abrir"")",Não iniciado,,,,
LPE ou controle eletrônico equivalente,Governança,Alta,Qualidade,"MGO 1.8, SOP 1.8",135/document_pack/06_lpe_ou_controle_eletrnico_equivalente.md,FRM-EXT-006,Controle de governança e conformidade documental,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1R-5WadeNv3W8WzTqhS4wGOopfKErvOcrCHvjrB-h7_o,https://docs.google.com/document/d/1R-5WadeNv3W8WzTqhS4wGOopfKErvOcrCHvjrB-h7_o/edit,"=HYPERLINK(""https://docs.google.com/document/d/1R-5WadeNv3W8WzTqhS4wGOopfKErvOcrCHvjrB-h7_o/edit"",""Abrir"")",Não iniciado,,,,
Pacote EO/COA/SEI vigente,Regulatório,Alta,GR,"MGO 1.4, MGO pendências Seção 1, SOP 1.6.1",135/document_pack/07_pacote_eo_coa_sei_vigente.md,FRM-EXT-007,Comprovação regulatória e rastreabilidade ANAC,GESTÃO + QUALIDADE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,18N13GkJwDQFgIXKI-dpmoXDQyV3hWlPg7hBwCD5F5hc,https://docs.google.com/document/d/18N13GkJwDQFgIXKI-dpmoXDQyV3hWlPg7hBwCD5F5hc/edit,"=HYPERLINK(""https://docs.google.com/document/d/18N13GkJwDQFgIXKI-dpmoXDQyV3hWlPg7hBwCD5F5hc/edit"",""Abrir"")",Não iniciado,,,,
Lista de bases e contatos operacionais,Operações,Alta,DOPS,"MGO 1.4, SOP 1.6.1, SOP 5",135/document_pack/08_lista_de_bases_e_contatos_operacionais.md,FRM-EXT-008,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1cW60hEYccKxKSUTypzWhP15mpBO5iUTW8qgLIGe-M2Q,https://docs.google.com/document/d/1cW60hEYccKxKSUTypzWhP15mpBO5iUTW8qgLIGe-M2Q/edit,"=HYPERLINK(""https://docs.google.com/document/d/1cW60hEYccKxKSUTypzWhP15mpBO5iUTW8qgLIGe-M2Q/edit"",""Abrir"")",Não iniciado,,,,
Cadastro de tripulantes,Operações,Alta,DOPS,"MGO 1.4, MGO 2.6, SOP 1.6.1",135/document_pack/09_cadastro_de_tripulantes.md,FRM-EXT-009,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1UN4ptdxlFUcehoevdRftFmoRGOXLfSG8lazr5YO2-H4,https://docs.google.com/document/d/1UN4ptdxlFUcehoevdRftFmoRGOXLfSG8lazr5YO2-H4/edit,"=HYPERLINK(""https://docs.google.com/document/d/1UN4ptdxlFUcehoevdRftFmoRGOXLfSG8lazr5YO2-H4/edit"",""Abrir"")",Não iniciado,,,,
Controle de qualificação de tripulantes,Operações,Alta,DOPS + Treinamento,"MGO 4.2 a 4.6, PTO 1.7",135/document_pack/10_controle_de_qualificao_de_tripulantes.md,FRM-EXT-010,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1vYEvc_ljvXAIdhH030vak70AX4DLisJB5aeEBpUT9MY,https://docs.google.com/document/d/1vYEvc_ljvXAIdhH030vak70AX4DLisJB5aeEBpUT9MY/edit,"=HYPERLINK(""https://docs.google.com/document/d/1vYEvc_ljvXAIdhH030vak70AX4DLisJB5aeEBpUT9MY/edit"",""Abrir"")",Não iniciado,,,,
